OrderID,ProductID,UnitPrice,Quantity,Discount,OrderValue,UnitPrice_Scaled,Quantity_Scaled
10248,11,14.0,12,0.0,168.0,0.009284332688588007,0.02217741935483871
10248,42,9.8,10,0.0,98.0,0.006034816247582206,0.018145161290322582
10248,72,34.8,5,0.0,174.0,0.025377176015473887,0.008064516129032258
10249,14,18.6,9,0.0,167.4,0.012843326885880078,0.016129032258064516
10249,51,42.4,40,0.0,1696.0,0.03125725338491296,0.07862903225806452
10250,41,7.7,10,0.0,77.0,0.004410058027079304,0.018145161290322582
10250,51,42.4,35,0.15,1261.3999999999999,0.03125725338491296,0.06854838709677419
10250,65,16.8,15,0.15,214.2,0.011450676982591878,0.028225806451612902
10251,22,16.8,6,0.05,95.76,0.011450676982591878,0.010080645161290322
10251,57,15.6,20,0.05,296.4,0.010522243713733075,0.038306451612903226
10251,65,16.8,20,0.0,336.0,0.011450676982591878,0.038306451612903226
10252,20,64.8,40,0.05,2462.4,0.048588007736943904,0.07862903225806452
10252,33,2.0,25,0.05,47.5,0.0,0.04838709677419355
10252,60,27.2,40,0.0,1088.0,0.019497098646034817,0.07862903225806452
10253,31,10.0,20,0.0,200.0,0.006189555125725338,0.038306451612903226
10253,39,14.4,42,0.0,604.8000000000001,0.009593810444874276,0.08266129032258064
10253,49,16.0,40,0.0,640.0,0.010831721470019342,0.07862903225806452
10254,24,3.6,15,0.15,45.9,0.0012379110251450678,0.028225806451612902
10254,55,19.2,21,0.15,342.71999999999997,0.013307543520309478,0.04032258064516129
10254,74,8.0,21,0.0,168.0,0.0046421663442940036,0.04032258064516129
10255,2,15.2,20,0.0,304.0,0.010212765957446808,0.038306451612903226
10255,16,13.9,35,0.0,486.5,0.00920696324951644,0.06854838709677419
10255,36,15.2,25,0.0,380.0,0.010212765957446808,0.04838709677419355
10255,59,44.0,30,0.0,1320.0,0.03249516441005803,0.05846774193548387
10256,53,26.2,15,0.0,393.0,0.018723404255319147,0.028225806451612902
10256,77,10.4,12,0.0,124.80000000000001,0.006499032882011605,0.02217741935483871
10257,27,35.1,25,0.0,877.5,0.025609284332688588,0.04838709677419355
10257,39,14.4,6,0.0,86.4,0.009593810444874276,0.010080645161290322
10257,77,10.4,15,0.0,156.0,0.006499032882011605,0.028225806451612902
10258,2,15.2,50,0.2,608.0,0.010212765957446808,0.09879032258064516
10258,5,17.0,65,0.2,884.0,0.01160541586073501,0.12903225806451613
10258,32,25.6,6,0.2,122.88000000000002,0.01825918762088975,0.010080645161290322
10259,21,8.0,10,0.0,80.0,0.0046421663442940036,0.018145161290322582
10259,37,20.8,1,0.0,20.8,0.014545454545454545,0.0
